variant,alpha,use_reranker1,use_reranker2,Recall@1,Recall@5,Recall@10,MRR,avg_sec_per_query
ho,0.3,False,True,0.58,0.9,0.96,0.7077,86.051
ho,0.3,True,True,0.58,0.9,0.96,0.7077,0.321
ho,0.5,False,True,0.58,0.9,0.96,0.7077,0.746
ho,0.5,True,True,0.58,0.9,0.96,0.7077,0.296
ho,0.6,False,True,0.58,0.9,0.96,0.7077,0.775
ho,0.6,True,True,0.58,0.9,0.96,0.7077,0.318
ho,0.7,False,True,0.58,0.9,0.96,0.7077,0.797
ho,0.7,True,True,0.58,0.9,0.96,0.7077,0.308
ho,1.0,False,True,0.58,0.9,0.96,0.7077,0.765
ho,1.0,True,True,0.58,0.9,0.96,0.7077,0.315
ho,0.3,True,False,0.56,0.88,0.92,0.6985,43.956
ho,0.5,True,False,0.56,0.88,0.92,0.6985,0.321
ho,0.6,True,False,0.56,0.88,0.92,0.6985,0.331
ho,0.7,True,False,0.56,0.88,0.92,0.6985,0.326
ho,1.0,True,False,0.56,0.88,0.92,0.6985,0.35
ho,0.7,False,False,0.6,0.8,0.84,0.6761,0.817
ho,1.0,False,False,0.6,0.8,0.84,0.6761,0.796
ho,0.6,False,False,0.58,0.8,0.84,0.6661,0.77
ho,0.5,False,False,0.56,0.8,0.82,0.6458,0.778
ho,0.3,False,False,0.28,0.42,0.44,0.3338,1.24
jo,0.3,False,True,0.8,1.0,1.0,0.8907,130.677
jo,0.3,True,True,0.8,1.0,1.0,0.8907,0.002
jo,0.5,False,True,0.8,1.0,1.0,0.8907,0.0
jo,0.5,True,True,0.8,1.0,1.0,0.8907,0.0
jo,0.6,False,True,0.8,1.0,1.0,0.8907,0.0
jo,0.6,True,True,0.8,1.0,1.0,0.8907,0.0
jo,0.7,False,True,0.8,1.0,1.0,0.8907,0.0
jo,0.7,True,True,0.8,1.0,1.0,0.8907,0.0
jo,1.0,False,True,0.8,1.0,1.0,0.8907,0.0
jo,1.0,True,True,0.8,1.0,1.0,0.8907,0.0
jo,0.3,True,False,0.7,1.0,1.0,0.8183,131.561
jo,0.5,True,False,0.7,1.0,1.0,0.8183,0.0
jo,0.6,True,False,0.7,1.0,1.0,0.8183,0.0
jo,0.7,True,False,0.7,1.0,1.0,0.8183,0.0
jo,1.0,True,False,0.7,1.0,1.0,0.8183,0.0
jo,1.0,False,False,0.62,0.86,0.96,0.7336,0.0
jo,0.7,False,False,0.54,0.86,0.96,0.6919,0.0
jo,0.6,False,False,0.46,0.86,0.96,0.6481,0.0
jo,0.5,False,False,0.44,0.82,0.92,0.5883,0.0
jo,0.3,False,False,0.38,0.5,0.56,0.4326,0.548
